,rollno,name,gender,hostel,python,sas,hadoop,fees,course,total,sclass
0,109,meena,F,True,66,68,71,114688,pg,205,C3
1,102,apoorva,F,False,84,79,77,139866,pg,240,C3
2,105,kastav,M,True,74,71,78,141275,msc,223,C2
3,106,shubam,M,False,72,69,83,123969,msc,224,C2
4,103,goldie,M,False,76,73,86,112556,pg,235,C3
5,110,hitesh,M,True,73,77,79,101712,pg,229,C3
6,101,shruti,F,False,88,65,83,109641,pg,236,C2
7,107,vijay,M,True,76,74,87,110392,pg,237,C2
8,104,achal,M,True,82,81,79,118782,pg,242,C2
9,111,lalit,M,True,86,68,88,133345,pg,242,C1
10,108,varun,M,False,88,83,76,149003,bsc,247,C2
